model_name,suggestion_rank,suggestion_text,similarity
stemmed_skipgram_window2_dim100,3,penalti al favor del real madrid,0.9939524531364441
stemmed_skipgram_window2_dim100,4,real madrid var,0.9872395396232605
stemmed_skipgram_window2_dim100,5,pen getting given faster real madrid paying ref,0.9869263172149658
stemmed_skipgram_window2_dim300,1,feck bet penalti favor real madrid,1.0
stemmed_skipgram_window2_dim300,2,penalti favor del real madrid,0.9965794682502747
stemmed_skipgram_window2_dim300,3,penalti al favor del real madrid,0.9954630732536316
stemmed_skipgram_window2_dim300,4,real madrid var,0.989957869052887
stemmed_skipgram_window2_dim300,5,pen getting given faster real madrid paying ref,0.9897186160087585
stemmed_skipgram_window4_dim100,1,feck bet penalti favor real madrid,0.9999999403953552
stemmed_skipgram_window4_dim100,2,real madrid var,0.988025426864624
stemmed_skipgram_window4_dim100,3,pen getting given faster real madrid paying ref,0.9869511127471924
stemmed_skipgram_window4_dim100,4,penalti favor del real madrid,0.9865264892578125
stemmed_skipgram_window4_dim100,5,florentino allows review favor madrid,0.9855301380157471
stemmed_skipgram_window4_dim300,1,feck bet penalti favor real madrid,1.0
stemmed_skipgram_window4_dim300,2,real madrid var,0.9910818338394165
stemmed_skipgram_window4_dim300,3,penalti favor del real madrid,0.9887043833732605
stemmed_skipgram_window4_dim300,4,pen getting given faster real madrid paying ref,0.9878071546554565
stemmed_skipgram_window4_dim300,5,penalti al favor del real madrid,0.9870966076850891
